id,estado_empresa,cnae_empresa,capital_empresa,processos_judiciais_empresa,idade_empresa,socios_empresa,fornecedor_empresa,descricao
34,MS,4669901,813566,0,9,4,FOO456,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
35,MS,4321500,241638,0,3,4,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
36,GO,3329599,809987,4,18,4,JJF753,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
37,RJ,4673700,484076,2,14,3,FOO456,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
38,BA,2821601,794661,0,19,3,FOO456,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
39,PE,3511502,791733,0,3,1,MEL789,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
40,PI,3321000,529619,0,1,1,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
41,PE,3511501,611674,3,4,4,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
42,SP,4673700,359238,0,3,2,XPTO123,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
43,PE,2731700,527100,3,2,2,FOO456,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
44,BA,3313901,44715,0,17,2,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
45,RJ,3321000,566815,1,11,4,FOO456,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
46,PA,3321000,62507,1,3,1,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
47,SP,4754703,785822,0,1,3,XPTO123,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
48,SE,3329599,744899,3,14,4,JJF753,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
49,CE,3511502,291731,0,12,2,XPTO123,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
50,SC,3321000,702894,1,16,4,FOO456,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
51,MT,4221902,327321,0,14,3,JJF753,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
52,DF,3511501,146763,0,5,3,JJF753,GERAÇÃO DE ENERGIA ELÉTRICA
53,PA,3313901,114763,0,6,3,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
54,AL,4221902,295705,0,15,3,MEL789,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
55,RS,3511500,859977,0,12,2,JJF753,
56,GO,7112000,488226,2,10,2,CABL951,SERVIÇOS DE ENGENHARIA
57,BA,3511500,777271,4,1,2,MEL789,
58,RR,4321500,228880,0,1,1,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
59,ES,2821602,61718,0,15,4,XPTO123,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
60,PR,3511502,451936,3,5,4,JJF753,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
61,AC,4754703,91444,2,15,4,FOO456,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
62,RN,4322301,768333,2,15,2,JJF753,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
63,SE,4321500,974892,0,1,3,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
64,MS,4669901,741982,0,4,3,CABL951,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
65,SC,3511501,61782,0,8,2,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
66,PA,7112000,95265,4,13,2,JJF753,SERVIÇOS DE ENGENHARIA
67,SE,3511501,884772,0,18,4,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
68,ES,4673700,232435,0,16,1,MEL789,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
69,MS,2821601,829205,0,19,1,CABL951,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
70,SC,4322301,922173,0,4,2,FOO456,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
71,RS,4221902,906994,0,1,2,JJF753,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
72,RS,7112000,656482,4,13,2,CABL951,SERVIÇOS DE ENGENHARIA
73,PE,4221903,374872,2,1,1,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
74,AC,3313901,654602,0,12,2,JJF753,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
75,ES,3511501,236597,0,8,1,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
76,RR,4742300,665146,1,13,1,CABL951,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
77,MA,2821601,551674,0,3,4,MEL789,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
78,PI,3313901,487285,0,20,2,MEL789,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
79,MG,4221903,459459,0,8,2,XPTO123,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
80,AL,3511502,207661,0,8,3,CABL951,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
81,PA,4322303,628521,0,1,1,MEL789,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
82,SE,4742300,364389,1,6,1,MEL789,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
83,MA,3329599,914049,0,16,1,XPTO123,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
84,RN,4221902,93855,0,11,4,MEL789,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
85,PA,4669999,465313,0,19,2,MEL789,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
86,AC,4754703,433220,0,16,1,MEL789,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
87,PI,4321500,708558,0,10,3,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
88,SC,4221902,536279,4,5,4,MEL789,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
89,MA,3511501,992601,0,9,2,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
90,PR,4742300,727957,0,6,2,FOO456,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
91,CE,3313901,649974,0,4,4,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
92,RO,4321500,15504,0,3,3,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
93,AL,4321500,863857,4,6,1,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
94,RR,2731700,860999,0,15,1,XPTO123,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
95,AP,3329599,637411,0,5,3,XPTO123,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
96,SP,4673700,939397,0,14,2,CABL951,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
97,SP,4322301,859296,3,14,1,JJF753,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
98,MS,4221902,778866,0,11,3,MEL789,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
99,SE,4669999,507334,0,6,4,JJF753,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
100,RS,4754703,936408,0,13,3,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
101,MS,4673700,771065,2,14,2,XPTO123,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
102,SE,3313901,625315,4,20,2,FOO456,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
103,PE,4321500,242738,0,13,4,XPTO123,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
104,AC,2731700,938719,4,19,2,FOO456,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
105,AM,3329599,699428,0,2,3,JJF753,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
106,AP,2821602,665247,0,18,2,CABL951,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
107,PE,2821601,394601,0,9,2,JJF753,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
108,PI,2821601,467225,0,6,3,XPTO123,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
109,PA,4754703,610820,0,18,2,FOO456,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
110,RN,3511502,571379,4,16,2,FOO456,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
111,AC,3511500,658954,0,2,2,CABL951,
112,DF,4322301,888027,3,15,3,MEL789,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
113,SP,4321500,530268,0,11,1,CABL951,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
114,PB,4221902,812268,0,9,2,FOO456,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
115,SE,4322301,127796,1,19,1,MEL789,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
116,RO,3511502,590500,0,16,2,XPTO123,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
117,RR,2821602,593572,0,17,2,XPTO123,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
118,DF,4669999,847240,0,6,2,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
119,TO,4742300,531426,0,21,4,XPTO123,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
120,AC,3321000,740035,0,8,4,CABL951,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
121,SC,4322303,371611,0,7,3,XPTO123,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
122,RN,4754703,584333,3,13,4,MEL789,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
123,MS,3511502,128376,1,12,4,FOO456,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
124,PE,3511500,207224,0,19,3,XPTO123,
125,MT,2731700,778132,1,14,2,FOO456,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
126,RR,4669999,791921,4,13,2,JJF753,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
127,GO,4221902,665394,0,12,1,XPTO123,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
128,CE,4221902,80979,0,17,1,JJF753,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
129,PA,2731700,576462,1,17,4,XPTO123,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
130,AM,3313901,690122,4,1,4,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
131,RO,4221902,598438,0,20,1,FOO456,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
132,SP,4673700,441551,0,11,3,MEL789,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
133,PB,2731700,653791,0,14,2,CABL951,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
134,SP,2731700,313221,0,8,2,CABL951,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
135,GO,4221903,45163,3,9,3,JJF753,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
136,CE,3511501,992649,0,6,2,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
137,SE,4754703,924881,0,18,3,MEL789,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
138,RN,4322302,935178,4,15,2,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
139,BA,4322301,580524,0,17,3,MEL789,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
140,GO,4321500,669886,0,11,1,XPTO123,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
141,AC,4321500,452228,0,1,1,CABL951,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
142,RO,2821601,697362,2,21,3,FOO456,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
143,AC,4742300,843086,0,17,4,JJF753,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
144,AM,4742300,538141,0,16,3,XPTO123,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
145,PI,4673700,921489,2,21,4,JJF753,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
146,AC,3511501,918754,0,2,4,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
147,AP,4321500,255090,1,18,4,XPTO123,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
148,MA,4221902,120269,0,10,2,JJF753,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
149,PI,4322302,632105,3,21,3,FOO456,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
150,PR,3511502,389531,0,20,4,FOO456,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
151,MG,2731700,58883,3,8,4,CABL951,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
152,RR,3511500,309783,2,19,3,JJF753,
153,RJ,2821601,171674,0,18,2,CABL951,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
154,SE,3511500,667343,0,4,4,XPTO123,
155,MA,4669901,92404,3,21,2,XPTO123,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
156,MG,4322301,281935,0,4,4,MEL789,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
157,MS,4322302,393963,0,7,3,FOO456,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
158,RJ,4669999,445377,0,10,4,MEL789,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
159,AL,3511501,466519,1,1,4,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
160,SC,7112000,297413,0,18,3,FOO456,SERVIÇOS DE ENGENHARIA
161,RS,4669999,620182,0,17,4,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
162,AL,2731700,45588,0,13,2,FOO456,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
163,PA,4321500,148208,0,14,2,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
164,PB,2821601,830660,0,19,2,XPTO123,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
165,AL,3313901,318975,0,20,3,XPTO123,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
166,TO,4322302,493974,4,14,2,MEL789,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
167,MT,4673700,329472,0,2,3,MEL789,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
168,RJ,3511502,289998,0,11,4,JJF753,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
169,DF,3511502,495743,1,7,1,CABL951,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
170,SE,3321000,177113,0,5,4,JJF753,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
171,RS,4669901,45477,0,16,1,FOO456,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
172,GO,4321500,983284,0,1,2,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
173,MG,4754703,836068,0,8,2,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
174,DF,4322301,371598,4,4,2,MEL789,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
175,PB,4221903,267785,4,18,1,CABL951,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
176,MT,4221903,193889,0,15,4,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
177,SC,4322302,955201,0,11,2,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
178,MA,4322303,193869,0,9,3,CABL951,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
179,DF,4221903,913061,0,1,4,CABL951,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
180,PE,4322302,997465,0,17,4,FOO456,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
181,TO,2821601,933395,0,9,2,FOO456,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
182,RS,4669999,95630,4,8,3,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
183,BA,4754703,651636,0,6,3,XPTO123,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
184,DF,4669901,822970,0,3,1,CABL951,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
185,ES,3329599,911007,0,1,3,CABL951,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
186,DF,2731700,484444,0,18,2,XPTO123,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
187,PI,4322301,571966,3,2,1,FOO456,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
188,TO,4322303,291422,4,7,3,CABL951,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
189,ES,4754703,852875,0,2,1,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
