id;estado_empresa;cnae_empresa;capital_empresa;processos_judiciais_empresa;idade_empresa;socios_empresa;fornecedor_empresa
70;SC;4322301;922173;0;4;2;FOO456
71;RS;4221902;906994;0;1;2;JJF753
72;RS;7112000;656482;4;13;2;CABL951
73;PE;4221903;374872;2;1;1;FOO456
74;AC;3313901;654602;0;12;2;JJF753
75;ES;3511501;236597;0;8;1;XPTO123
76;RR;4742300;665146;1;13;1;CABL951
77;MA;2821601;551674;0;3;4;MEL789
78;PI;3313901;487285;0;20;2;MEL789
79;MG;4221903;459459;0;8;2;XPTO123
80;AL;3511502;207661;0;8;3;CABL951
81;PA;4322303;628521;0;1;1;MEL789
82;SE;4742300;364389;1;6;1;MEL789
83;MA;3329599;914049;0;16;1;XPTO123
84;RN;4221902;93855;0;11;4;MEL789
85;PA;4669999;465313;0;19;2;MEL789
86;AC;4754703;433220;0;16;1;MEL789
87;PI;4321500;708558;0;10;3;MEL789
88;SC;4221902;536279;4;5;4;MEL789
89;MA;3511501;992601;0;9;2;MEL789
90;PR;4742300;727957;0;6;2;FOO456
91;CE;3313901;649974;0;4;4;CABL951
92;RO;4321500;15504;0;3;3;FOO456
93;AL;4321500;863857;4;6;1;MEL789
94;RR;2731700;860999;0;15;1;XPTO123
95;AP;3329599;637411;0;5;3;XPTO123
96;SP;4673700;939397;0;14;2;CABL951
97;SP;4322301;859296;3;14;1;JJF753
98;MS;4221902;778866;0;11;3;MEL789
99;SE;4669999;507334;0;6;4;JJF753
100;RS;4754703;936408;0;13;3;CABL951
101;MS;4673700;771065;2;14;2;XPTO123
102;SE;3313901;625315;4;20;2;FOO456
103;PE;4321500;242738;0;13;4;XPTO123
104;AC;2731700;938719;4;19;2;FOO456
105;AM;3329599;699428;0;2;3;JJF753
106;AP;2821602;665247;0;18;2;CABL951
107;PE;2821601;394601;0;9;2;JJF753
108;PI;2821601;467225;0;6;3;XPTO123
109;PA;4754703;610820;0;18;2;FOO456
110;RN;3511502;571379;4;16;2;FOO456
111;AC;3511500;658954;0;2;2;CABL951
112;DF;4322301;888027;3;15;3;MEL789
113;SP;4321500;530268;0;11;1;CABL951
114;PB;4221902;812268;0;9;2;FOO456
115;SE;4322301;127796;1;19;1;MEL789
116;RO;3511502;590500;0;16;2;XPTO123
117;RR;2821602;593572;0;17;2;XPTO123
118;DF;4669999;847240;0;6;2;XPTO123
119;TO;4742300;531426;0;21;4;XPTO123
120;AC;3321000;740035;0;8;4;CABL951
121;SC;4322303;371611;0;7;3;XPTO123
122;RN;4754703;584333;3;13;4;MEL789
123;MS;3511502;128376;1;12;4;FOO456
124;PE;3511500;207224;0;19;3;XPTO123
125;MT;2731700;778132;1;14;2;FOO456
126;RR;4669999;791921;4;13;2;JJF753
127;GO;4221902;665394;0;12;1;XPTO123
128;CE;4221902;80979;0;17;1;JJF753
129;PA;2731700;576462;1;17;4;XPTO123
130;AM;3313901;690122;4;1;4;CABL951
131;RO;4221902;598438;0;20;1;FOO456
132;SP;4673700;441551;0;11;3;MEL789
133;PB;2731700;653791;0;14;2;CABL951
134;SP;2731700;313221;0;8;2;CABL951
135;GO;4221903;45163;3;9;3;JJF753
136;CE;3511501;992649;0;6;2;MEL789
137;SE;4754703;924881;0;18;3;MEL789
138;RN;4322302;935178;4;15;2;CABL951
139;BA;4322301;580524;0;17;3;MEL789
140;GO;4321500;669886;0;11;1;XPTO123
141;AC;4321500;452228;0;1;1;CABL951
142;RO;2821601;697362;2;21;3;FOO456
143;AC;4742300;843086;0;17;4;JJF753
144;AM;4742300;538141;0;16;3;XPTO123
145;PI;4673700;921489;2;21;4;JJF753
146;AC;3511501;918754;0;2;4;FOO456
147;AP;4321500;255090;1;18;4;XPTO123
148;MA;4221902;120269;0;10;2;JJF753
149;PI;4322302;632105;3;21;3;FOO456
150;PR;3511502;389531;0;20;4;FOO456
151;MG;2731700;58883;3;8;4;CABL951
152;RR;3511500;309783;2;19;3;JJF753
153;RJ;2821601;171674;0;18;2;CABL951
154;SE;3511500;667343;0;4;4;XPTO123
155;MA;4669901;92404;3;21;2;XPTO123
156;MG;4322301;281935;0;4;4;MEL789
157;MS;4322302;393963;0;7;3;FOO456
158;RJ;4669999;445377;0;10;4;MEL789
159;AL;3511501;466519;1;1;4;XPTO123
160;SC;7112000;297413;0;18;3;FOO456
161;RS;4669999;620182;0;17;4;XPTO123
162;AL;2731700;45588;0;13;2;FOO456
163;PA;4321500;148208;0;14;2;JJF753
164;PB;2821601;830660;0;19;2;XPTO123
165;AL;3313901;318975;0;20;3;XPTO123
166;TO;4322302;493974;4;14;2;MEL789
167;MT;4673700;329472;0;2;3;MEL789
168;RJ;3511502;289998;0;11;4;JJF753
169;DF;3511502;495743;1;7;1;CABL951
170;SE;3321000;177113;0;5;4;JJF753
171;RS;4669901;45477;0;16;1;FOO456
172;GO;4321500;983284;0;1;2;JJF753
173;MG;4754703;836068;0;8;2;CABL951
174;DF;4322301;371598;4;4;2;MEL789
175;PB;4221903;267785;4;18;1;CABL951
176;MT;4221903;193889;0;15;4;FOO456
177;SC;4322302;955201;0;11;2;CABL951
178;MA;4322303;193869;0;9;3;CABL951
179;DF;4221903;913061;0;1;4;CABL951
180;PE;4322302;997465;0;17;4;FOO456
181;TO;2821601;933395;0;9;2;FOO456
182;RS;4669999;95630;4;8;3;XPTO123
183;BA;4754703;651636;0;6;3;XPTO123
184;DF;4669901;822970;0;3;1;CABL951
185;ES;3329599;911007;0;1;3;CABL951
186;DF;2731700;484444;0;18;2;XPTO123
187;PI;4322301;571966;3;2;1;FOO456
188;TO;4322303;291422;4;7;3;CABL951
189;ES;4754703;852875;0;2;1;CABL951
190;AM;4669999;230478;0;8;4;MEL789
191;RR;4322303;30710;1;19;4;XPTO123
192;AP;3511502;843684;0;15;3;CABL951
193;PE;4322303;116156;0;6;4;MEL789
194;MS;4221903;772727;0;3;3;MEL789
195;AL;3321000;766519;1;6;3;FOO456
196;PE;3511501;578500;0;18;1;JJF753
197;ES;3511500;874173;0;16;4;FOO456
198;RN;3511501;143128;4;18;3;FOO456
199;AL;2731700;485473;0;5;4;JJF753
200;AL;4322303;316269;0;21;4;MEL789
201;PA;4321500;199478;0;1;4;MEL789
202;PA;3511500;313539;4;2;2;CABL951
203;RJ;2731700;851859;0;20;2;MEL789
204;DF;3511500;76110;0;10;4;FOO456
205;PA;4322302;464612;0;10;1;MEL789
206;PE;4221902;467742;0;19;4;CABL951
207;MT;4669901;842106;3;20;4;CABL951
208;RS;4221903;184280;0;10;1;MEL789
209;SP;2731700;14597;0;16;4;CABL951
210;RJ;4754703;116112;0;19;3;CABL951
211;RJ;3511501;439885;4;19;3;JJF753
212;AL;3321000;109676;0;9;4;MEL789
213;PB;4321500;295544;2;9;2;XPTO123
214;DF;4322301;280814;1;14;3;CABL951
215;SE;4754703;156456;0;3;2;CABL951
216;ES;4221903;933964;1;21;3;FOO456
217;RJ;2731700;445079;0;20;1;JJF753
218;SP;4322303;615630;0;5;1;FOO456
219;CE;4322301;448540;0;17;2;XPTO123
220;RN;4322301;588346;0;1;4;XPTO123
221;CE;3313901;798854;0;19;2;FOO456
222;RO;4321500;279895;0;12;3;MEL789
223;PE;4221903;200236;1;6;4;JJF753
224;MA;3511502;234113;0;11;3;CABL951
225;DF;4321500;191270;0;11;3;XPTO123
226;GO;4322303;518323;2;6;1;MEL789
227;AP;7112000;974040;3;1;4;XPTO123
228;PE;2731700;652166;2;15;4;JJF753
229;MG;4322301;465011;1;21;1;FOO456
230;TO;2821602;926196;0;5;2;JJF753
231;RS;4669999;763295;0;8;2;CABL951
232;ES;4322302;631507;4;8;4;MEL789
233;PI;4221902;331372;0;1;3;MEL789
234;RS;3329599;505637;1;3;2;FOO456
235;RO;3511501;851652;0;2;2;XPTO123
236;GO;3511500;181886;1;11;1;CABL951
237;RS;3321000;956519;0;19;2;MEL789
238;DF;4754703;419371;4;18;1;FOO456
239;AM;4321500;549845;0;2;4;XPTO123
240;PR;3511501;103897;1;10;3;CABL951
241;PR;3329599;938357;2;14;1;JJF753
242;SE;4321500;645312;0;10;1;JJF753
243;GO;3511501;918088;2;12;3;FOO456
244;RR;7112000;338031;2;11;4;XPTO123
245;ES;4221903;27119;0;7;3;XPTO123
246;GO;2821602;946280;4;14;3;CABL951
247;MT;4754703;786478;3;7;4;MEL789
248;MA;3329599;806213;0;11;3;MEL789
249;PB;4321500;907765;0;18;3;XPTO123
250;MG;3329599;416966;1;15;3;CABL951
251;PI;3511501;695293;0;16;1;JJF753
252;SC;4669999;660461;0;16;3;CABL951
253;RO;4742300;238082;0;9;4;XPTO123
254;MS;3511501;585877;0;20;1;MEL789
255;MT;4322302;725322;0;10;2;CABL951
256;MS;4321500;780048;2;21;3;FOO456
257;AC;4742300;548102;0;18;1;JJF753
258;BA;2821602;693562;3;6;3;XPTO123
259;SP;4221902;97753;0;11;2;FOO456
260;DF;2821601;450389;0;2;2;MEL789
261;TO;4321500;560916;0;12;2;CABL951
262;SP;4321500;693925;1;14;3;MEL789
263;PA;4669901;399529;0;8;4;JJF753
264;RN;4221902;272934;1;14;4;MEL789
265;PI;4321500;296266;0;5;2;CABL951
266;RO;3511501;640332;0;11;4;CABL951
267;RO;3321000;791640;0;18;1;FOO456
268;SE;4322301;38592;0;19;2;FOO456
269;SC;4322303;254165;0;11;4;FOO456
270;RJ;3321000;13016;1;16;2;XPTO123
271;SE;2731700;164762;0;21;4;FOO456
272;PE;4669999;20319;0;14;1;XPTO123
273;SC;4221903;713014;0;19;1;JJF753
274;PA;7112000;636215;2;7;3;MEL789
275;RJ;4322301;443985;3;7;1;XPTO123
276;RJ;4221902;372535;2;6;3;XPTO123
277;DF;3329599;495881;0;6;1;JJF753
278;CE;3511502;847222;2;3;1;FOO456
279;DF;4321500;77715;0;17;1;FOO456
280;SE;3313901;905229;4;17;1;CABL951
281;SE;4673700;196691;4;1;2;MEL789
282;AP;7112000;75623;0;10;3;XPTO123
283;PA;4669999;365278;0;19;3;XPTO123
284;PR;4673700;546991;3;14;1;CABL951
285;PE;2731700;464088;0;1;1;CABL951
286;RO;4322303;417259;0;7;3;XPTO123
287;AC;4322302;894386;0;13;4;CABL951
288;RR;3321000;367176;0;2;3;FOO456
289;TO;4321500;640575;4;10;3;CABL951
290;PR;3511501;807841;0;11;3;MEL789
291;GO;3511502;891980;0;5;1;FOO456
292;ES;2731700;255520;0;9;4;CABL951
293;PB;4221903;360640;4;17;4;FOO456
294;PA;4322302;652760;0;13;2;XPTO123
295;SE;3511501;917690;4;3;4;JJF753
296;SP;2821601;260119;0;17;1;MEL789
297;MA;4221903;183411;0;3;1;JJF753
298;ES;4673700;29540;0;2;2;MEL789
299;MT;4322301;663035;0;19;4;XPTO123
300;RJ;2821601;25439;2;13;4;CABL951
301;RS;3313901;336341;0;6;2;CABL951
302;GO;4669901;109025;0;18;4;JJF753
303;ES;3511501;778637;1;17;3;XPTO123
304;SC;3511500;162317;0;14;4;XPTO123
305;BA;4669999;827459;3;12;4;CABL951
306;SE;4669901;163423;3;10;3;MEL789
307;AC;4322303;71109;1;20;3;CABL951
308;MG;3511501;613068;0;19;3;XPTO123
309;AM;4321500;841950;0;12;1;MEL789
310;PI;4669901;68464;0;1;4;MEL789
311;RJ;3511500;272158;0;14;4;MEL789
312;PR;3329599;338335;1;2;4;JJF753
313;RN;2821602;675832;0;3;3;FOO456
314;PE;4673700;178903;0;20;1;JJF753
315;SE;7112000;202897;0;2;3;JJF753
316;AL;4221902;687638;0;2;4;XPTO123
317;DF;3511501;283519;1;20;3;MEL789
318;RR;4322301;169773;1;3;3;CABL951
319;PB;2731700;201858;0;19;2;XPTO123
320;PR;3313901;161831;1;3;4;CABL951
321;GO;3511500;708692;1;9;4;JJF753
322;TO;4221903;497084;0;16;1;FOO456
323;SC;4221903;157717;1;15;4;XPTO123
324;AL;2821602;407789;3;3;2;XPTO123
325;ES;7112000;588501;3;7;1;FOO456
326;PB;3313901;860085;0;8;4;FOO456
327;BA;4221902;646625;0;1;4;JJF753
328;PB;2731700;447919;0;11;1;CABL951
329;RR;3511502;797307;0;4;4;CABL951
330;MT;7112000;731882;0;6;4;CABL951
331;SC;2731700;21016;0;9;2;MEL789
332;MG;3511502;41575;4;1;3;CABL951
333;MS;4321500;148875;0;11;2;CABL951
334;PA;3511501;348752;0;6;3;JJF753
335;RR;4321500;833006;4;20;1;XPTO123
336;RN;4322303;676332;0;16;3;FOO456
337;RR;4742300;366601;0;4;2;XPTO123
338;AM;3511501;608998;0;11;1;MEL789
339;RS;4221903;147147;4;19;1;MEL789
340;PR;4754703;225060;1;15;2;MEL789
341;RJ;4669999;460779;4;3;1;XPTO123
342;RN;4669999;432936;0;15;2;XPTO123
343;DF;2821601;788292;0;5;1;MEL789
344;AP;2821601;260948;0;20;3;FOO456
345;RR;4754703;26816;0;17;1;CABL951
346;AL;2821602;478038;0;16;1;CABL951
347;ES;7112000;648677;0;14;2;JJF753
348;RO;3511501;568326;3;8;4;FOO456
349;RO;4669901;54687;3;11;3;XPTO123
350;SC;4322301;386088;2;11;2;CABL951
351;AP;3511502;590078;2;16;1;CABL951
352;BA;3321000;134927;0;20;2;FOO456
353;PB;2821602;81151;0;18;3;JJF753
354;RO;4669999;685913;0;2;3;XPTO123
355;GO;4673700;498372;3;16;4;XPTO123
356;AP;2821602;867514;0;21;2;CABL951
357;AL;4322302;377025;0;10;3;CABL951
358;PA;3329599;878664;0;4;4;JJF753
359;MG;4322302;365106;3;4;1;FOO456
360;GO;4742300;229503;0;8;4;MEL789
361;SE;2821601;570370;3;16;4;CABL951
362;MG;4321500;17208;0;8;4;FOO456
363;SP;4221903;12740;2;13;4;CABL951
364;RN;2731700;880462;1;2;1;XPTO123
365;RS;4669901;948382;0;6;3;XPTO123
366;AL;3511501;394008;2;1;4;FOO456
367;RR;4754703;888170;0;1;3;JJF753
368;PI;4322303;890043;0;2;3;JJF753
369;AC;7112000;86474;0;21;2;XPTO123
370;DF;4221902;141677;0;18;1;FOO456
371;PA;3329599;670473;0;8;1;CABL951
372;AP;4754703;856285;0;13;2;CABL951
373;AP;4322301;638545;1;17;3;XPTO123
374;TO;3511500;317352;0;20;3;JJF753
375;DF;3511502;189205;0;8;4;JJF753
376;MS;7112000;567586;0;6;2;CABL951
377;MT;4742300;771737;3;6;3;JJF753
378;SP;2821602;650996;0;9;3;FOO456
379;SE;4322302;655300;0;11;4;CABL951
380;MA;7112000;518772;1;13;1;MEL789
381;MT;2821601;462182;3;5;3;XPTO123
382;PR;4742300;850479;0;20;4;CABL951
383;PI;4742300;718693;1;9;4;FOO456
384;AL;4742300;450969;3;14;4;MEL789
385;SC;3511500;577241;0;13;3;CABL951
386;PA;7112000;138568;0;7;3;JJF753
387;MT;4673700;347959;2;13;3;XPTO123
388;PA;4742300;855850;0;6;4;MEL789
389;MA;4742300;244283;0;6;3;CABL951
390;BA;3313901;556407;1;15;2;JJF753
391;SP;4322302;46282;0;18;2;FOO456
392;AM;4322301;750254;0;9;1;JJF753
393;MG;4321500;675154;0;9;4;FOO456
394;AP;4742300;974524;0;18;3;FOO456
395;CE;4221903;189846;3;19;4;XPTO123
396;AL;4754703;439651;4;7;4;MEL789
397;AL;4221903;760654;4;21;1;MEL789
398;MT;7112000;540893;0;2;4;FOO456
399;DF;4673700;333389;0;7;1;MEL789
400;RS;3511502;575317;0;6;3;MEL789
401;SP;4221902;413439;0;5;3;FOO456
402;PR;4321500;802120;0;12;1;FOO456
403;PR;3511502;751099;2;18;4;CABL951
404;PE;2731700;292411;0;1;1;XPTO123
405;AP;3511501;475703;0;8;2;FOO456
406;RS;4322301;75840;0;17;2;FOO456
407;MA;2821601;910295;2;16;3;CABL951
408;MG;3511501;499591;0;16;3;CABL951
409;BA;3511500;426339;0;1;4;MEL789
410;DF;3511501;867739;0;16;2;FOO456
411;PR;4322301;942398;3;17;3;CABL951
412;SC;3511501;233728;0;2;3;MEL789
413;AL;4221902;984608;3;8;4;JJF753
414;AC;7112000;286244;1;10;4;CABL951
415;AL;4321500;574826;0;17;3;FOO456
416;AP;4754703;637572;4;18;2;XPTO123
417;RJ;3511502;521917;4;18;2;CABL951
418;PB;4742300;30688;0;17;4;XPTO123
419;AL;3511500;764779;1;4;3;MEL789
420;AP;4742300;502732;2;19;2;MEL789
421;MS;3511500;10903;3;13;3;FOO456
422;BA;4669901;996267;3;3;2;JJF753
423;RR;3321000;86037;0;4;4;XPTO123
424;MG;3511501;726933;0;3;2;MEL789
425;PB;4322301;712096;0;9;3;MEL789
426;PB;3321000;980368;4;17;4;CABL951
427;SE;2821601;952587;0;1;1;XPTO123
428;RO;3511500;121589;0;10;3;CABL951
429;GO;4669999;295785;0;21;1;XPTO123
430;BA;3321000;719864;0;3;4;JJF753
431;RR;2821602;171570;0;13;4;XPTO123
432;MA;3511502;324122;0;5;2;XPTO123
433;TO;4322301;63625;0;10;4;CABL951
434;PE;2821601;821303;0;4;2;FOO456
435;BA;4754703;88770;3;3;3;FOO456
436;RO;4322303;736798;2;11;3;JJF753
437;CE;3511501;778738;2;7;4;CABL951
438;RO;3329599;29064;0;2;4;JJF753
439;AM;2821602;918922;4;1;3;MEL789
440;PE;4221903;391164;0;12;3;JJF753
441;SE;4221902;957415;0;13;4;XPTO123
442;PE;3511500;267710;4;1;1;CABL951
443;PA;4221902;219334;1;9;3;XPTO123
444;MG;4673700;628562;0;20;1;MEL789
445;MG;4221902;964311;4;15;2;FOO456
446;DF;4322303;291589;0;13;1;CABL951
447;AC;4669901;528215;0;14;3;FOO456
448;TO;4322303;337489;0;13;3;XPTO123
449;PE;4221903;685675;1;8;3;JJF753
450;AM;4669901;162918;2;4;1;XPTO123
451;RN;3313901;920773;0;15;1;JJF753
452;RJ;2821601;633711;0;15;4;FOO456
453;AM;2821601;174051;2;17;2;XPTO123
454;AM;3511501;784395;1;4;3;MEL789
455;RO;4322303;39954;0;10;2;FOO456
456;AM;3313901;531243;0;7;4;MEL789
457;GO;3511501;733670;0;2;2;CABL951
458;ES;4322303;863698;2;20;1;MEL789
459;AP;2821601;672168;0;18;3;FOO456
460;PB;3313901;587660;0;5;1;CABL951
461;BA;4669999;669890;0;11;4;XPTO123
462;GO;3511501;873839;2;13;1;XPTO123
463;PI;4322301;413500;0;3;1;CABL951
464;AP;7112000;155794;0;3;1;MEL789
465;ES;3511500;497473;3;19;2;XPTO123
466;RS;4754703;415017;0;20;2;CABL951
467;AM;4322301;794641;3;18;1;FOO456
468;CE;4221903;893794;4;3;2;XPTO123
469;PB;4669901;655858;4;15;2;CABL951
470;PA;2821601;258909;3;8;4;XPTO123
471;MT;2821602;572385;4;20;3;FOO456
472;MT;2731700;459560;0;10;3;FOO456
473;RS;4321500;870342;1;21;2;FOO456
474;MT;3511501;888221;2;16;4;FOO456
475;PI;3313901;132136;4;8;1;CABL951
476;PE;3511501;402928;3;13;3;MEL789
477;MS;4321500;551921;3;9;4;JJF753
478;RO;3313901;17138;0;1;1;FOO456
479;GO;3511501;403635;0;19;3;FOO456
480;MS;3511501;708821;0;15;2;JJF753
481;BA;4321500;528394;0;15;3;MEL789
482;PE;4322301;656331;0;21;1;CABL951
483;SE;3329599;35132;0;1;1;JJF753
484;RJ;4221902;43249;0;10;3;CABL951
485;BA;4322303;530896;0;7;1;FOO456
486;BA;4322302;916577;1;16;1;FOO456
487;AM;4322301;49419;0;14;3;FOO456
488;RS;4322303;110952;0;9;3;FOO456
489;MA;2731700;853625;0;14;1;MEL789
490;PE;4669999;117136;3;5;2;CABL951
491;DF;2731700;548236;0;20;2;CABL951
492;AM;3511501;820728;0;20;3;XPTO123
493;ES;4742300;992362;0;14;3;JJF753
494;SP;4321500;643952;2;9;1;CABL951
495;PE;4321500;825043;0;12;3;MEL789
496;SE;3511500;488802;0;12;4;FOO456
497;PE;2821601;107306;3;15;4;FOO456
498;MG;3511502;764353;0;10;3;MEL789
499;CE;2731700;372929;4;9;4;CABL951
500;MA;4669999;461836;0;12;4;FOO456
501;TO;3329599;580340;0;21;4;MEL789
502;SE;3511501;456604;4;6;3;MEL789
503;RO;3511500;48596;0;3;2;JJF753
504;TO;4669999;353022;4;3;3;MEL789
505;PA;4754703;249001;0;5;4;JJF753
506;PR;3511500;302280;0;6;3;FOO456
507;RJ;3511500;739934;0;8;3;MEL789
508;SP;2821601;933865;0;13;2;CABL951
509;PR;3511501;523836;4;13;4;XPTO123
510;RO;4321500;34174;1;18;4;MEL789
511;SP;3511501;11296;0;10;3;MEL789
512;GO;3511502;928049;0;1;2;JJF753
513;MS;3313901;567950;0;18;1;CABL951
514;MS;4321500;103348;0;20;2;JJF753
515;RO;4669999;242800;0;16;2;CABL951
516;CE;3321000;534853;0;14;4;FOO456
517;TO;4221903;233724;0;19;2;MEL789
518;AC;3511502;813334;2;14;2;CABL951
519;RN;2821601;930415;0;4;1;JJF753
520;MT;4322301;878724;0;19;2;XPTO123
521;MA;3511502;495341;0;2;1;MEL789
522;MT;4321500;73549;0;10;4;MEL789
523;PI;3511500;241782;3;3;3;CABL951
524;RS;4221902;443546;3;19;2;MEL789
525;PB;4321500;920573;0;13;4;JJF753
526;PA;2821602;704233;0;13;4;MEL789
527;MS;4742300;895013;2;20;3;MEL789
528;AP;4221902;606834;4;11;1;FOO456
529;CE;4321500;703431;3;9;2;CABL951
530;ES;4669901;899400;0;16;1;CABL951
531;RO;4322301;924391;0;3;4;XPTO123
532;PB;3511502;369358;1;11;2;XPTO123
533;MG;3511500;988344;0;18;4;MEL789
534;SE;4221903;472015;0;20;1;XPTO123
535;RN;3511500;414663;0;1;1;FOO456
536;SC;2731700;289122;0;19;2;XPTO123
537;MA;4221902;958888;1;17;2;XPTO123
538;SP;4754703;974736;4;9;2;XPTO123
539;ES;4754703;256531;1;17;2;CABL951
540;MG;4321500;741298;2;21;2;JJF753
541;BA;4322302;451083;0;10;4;FOO456
542;RO;7112000;670557;0;8;4;CABL951
543;AL;4669901;937267;1;7;4;CABL951
544;BA;2821602;464355;0;7;3;XPTO123
545;PE;3511502;176166;0;1;4;FOO456
546;SP;2731700;750659;0;15;1;CABL951
547;PE;2821602;375536;3;14;3;XPTO123
548;MS;4322302;668270;0;8;3;CABL951
549;MG;2821601;900723;0;19;4;JJF753
550;SP;7112000;245368;0;21;4;XPTO123
551;RN;4322301;219598;0;19;2;MEL789
552;RS;3321000;119990;0;11;3;FOO456
553;PB;2821602;920231;0;7;2;CABL951
554;PA;4221902;264723;2;9;3;XPTO123
555;PR;4322303;235811;0;13;3;MEL789
556;RR;3321000;36401;0;15;4;XPTO123
557;RJ;4322301;478184;4;5;4;CABL951
558;ES;2821601;836704;0;10;2;MEL789
559;BA;3511500;881142;3;19;1;FOO456
560;CE;4322303;199608;1;17;4;FOO456
561;PE;2731700;533001;1;13;1;CABL951
562;RN;4221902;984038;0;13;1;MEL789
563;PE;2821601;863126;0;16;2;CABL951
564;PI;2821602;792433;0;13;3;MEL789
565;GO;4322301;405102;0;16;1;CABL951
566;MT;4322303;785971;2;13;2;FOO456
567;PB;4669999;375465;1;8;2;MEL789
568;DF;3511501;909016;1;6;3;CABL951
569;PA;4322302;35668;0;2;4;FOO456
570;SE;3511501;63424;0;3;3;CABL951
571;CE;3511500;618803;0;2;4;XPTO123
572;PB;3329599;725794;0;7;3;MEL789
573;TO;3511501;911012;0;8;2;XPTO123
574;PA;2731700;721290;3;8;3;FOO456
575;PA;3511502;69841;3;10;4;FOO456
576;AM;4322302;367185;1;6;1;MEL789
577;SE;3329599;349631;0;10;1;CABL951
578;AP;4754703;997952;4;7;3;JJF753
579;PI;4754703;250785;1;4;1;JJF753
580;ES;3511501;794820;3;17;1;MEL789
581;MA;3329599;272721;0;20;3;CABL951
582;RJ;4754703;32266;0;10;2;MEL789
583;SC;3511501;521677;0;17;2;MEL789
584;MG;4669901;752228;4;5;1;XPTO123
585;RN;3511501;504270;3;19;3;XPTO123
586;MT;2821601;460533;0;11;1;JJF753
587;MA;2731700;512580;0;19;3;JJF753
588;AP;3321000;942187;0;14;1;JJF753
589;SC;2821601;940721;0;2;2;CABL951
590;BA;4321500;389940;4;18;3;XPTO123
591;PE;3511502;467725;0;21;2;FOO456
592;AC;4322302;975597;0;19;2;MEL789
593;SC;3313901;606023;0;11;3;MEL789
594;TO;2821601;209425;4;7;4;MEL789
595;RO;4673700;387430;2;17;1;JJF753
596;RS;4669999;214852;0;7;1;FOO456
